SKU,In_TWG_Feed,In_WP_Feed,TWG_Stock,TWG_MSRP,TWG_DealerCost,Parsed_Size,Parsed_BoltPattern,Parsed_Offset,Parsed_CB,WP_PartNumber,WP_Brand,WP_Stock,Issue_Summary
8304-C,Yes,No,487,12.49,7.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8304L-C,Yes,No,308,14.99,8.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8305-5744MG,Yes,No,15,216.99,151.9,15X7,5-100,15,56.1,,,,Not in Master WP Feed (likely missing technical metadata)
8305-8970MB18,Yes,No,0,266.99,186.9,18X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8305-8981MB18,Yes,No,0,294.99,206.5,18X9,8-165.1,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8305-C,Yes,No,339,12.49,7.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8306-7883BZ25,Yes,No,0,304.99,213.5,17X8.5,6-139.7,25,106,,,,Not in Master WP Feed (likely missing technical metadata)
8306-7883MB25,Yes,No,0,304.99,213.5,17X8.5,6-139.7,25,106,,,,Not in Master WP Feed (likely missing technical metadata)
8306-8983BZ20,Yes,No,0,314.99,220.5,18X9,6-139.7,20,106,,,,Not in Master WP Feed (likely missing technical metadata)
8306-8983MB20,Yes,No,0,314.99,220.5,18X9,6-139.7,20,106,,,,Not in Master WP Feed (likely missing technical metadata)
8306L-C,Yes,No,525,14.99,8.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8307-C,Yes,No,650,12.49,7.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8308L-C,Yes,No,541,14.99,8.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8309-7973B,Yes,No,0,271.99,190.4,17X9,5-127,0,78.1,,,,Not in Master WP Feed (likely missing technical metadata)
8309-C,Yes,No,316,12.49,7.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7936GB,Yes,No,28,279.99,196.0,17X9,6-135,18,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7936MGT,Yes,No,74,279.99,196.0,17X9,6-135,18,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7970GB,Yes,No,57,279.99,196.0,17X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7970MGT,Yes,No,65,279.99,196.0,17X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7978GB,Yes,No,48,279.99,196.0,17X9,8-180,18,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7978MGT,Yes,No,54,279.99,196.0,17X9,8-180,18,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7981GB,Yes,No,32,279.99,196.0,17X9,8-165.1,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7981MGT,Yes,No,35,279.99,196.0,17X9,8-165.1,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7983GB,Yes,No,29,279.99,196.0,17X9,6-139.7,18,106,,,,Not in Master WP Feed (likely missing technical metadata)
8310-7983MGT,Yes,No,8,279.99,196.0,17X9,6-139.7,18,106,,,,Not in Master WP Feed (likely missing technical metadata)
8350-Z,Yes,No,1502,1.0,0.6,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8352-Z,Yes,No,12800,0.67,0.4,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8354-Z,Yes,No,8600,1.0,0.6,14X1.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8355-Z,Yes,No,2800,1.0,0.6,12X1.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8357-Z,Yes,No,15000,1.0,0.6,12X1.25,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8358-Z,Yes,No,0,1.5,0.9,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8359-Z,Yes,No,15000,0.67,0.4,12X1.75,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8405-C,Yes,No,3600,1.4,0.84,12X1.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8407-C,Yes,No,14400,1.4,0.84,12X1.25,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8430K6-Z,Yes,No,104,32.94,19.76,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8434K6-Z,Yes,No,1,32.94,19.76,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8434K6ET-Z,Yes,No,83,40.89,24.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8434K8-Z,Yes,No,118,40.89,24.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8435K5-Z,Yes,No,97,29.53,17.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8435K6-Z,Yes,No,11,32.94,19.76,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8435K6ET-Z,Yes,No,33,40.89,24.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8436K6-Z,Yes,No,71,32.94,19.76,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8436K8-Z,Yes,No,17,40.89,24.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8437K5-Z,Yes,No,50,29.53,17.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8437K6-Z,Yes,No,64,32.94,19.76,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8438K5-Z,Yes,No,28,29.53,17.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8438K8-Z,Yes,No,15,40.89,24.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8440-B,Yes,No,0,1.5,0.9,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8440-C,Yes,No,0,1.5,0.9,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8440K6-B,Yes,No,28,41.8,25.08,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8440K6-C,Yes,No,11,45.71,27.43,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8442-C,Yes,No,0,1.5,0.9,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8442K5-B,Yes,No,86,37.88,22.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8442K5-C,Yes,No,22,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8443BK5-B,Yes,No,0,93.7,56.22,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8443BK5-C,Yes,No,4,99.95,59.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444-B,Yes,No,0,1.5,0.9,,4-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444-C,Yes,No,0,1.5,0.9,,4-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5-B,Yes,No,1,85.18,51.11,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5-C,Yes,No,42,85.17,51.1,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5L-B,Yes,No,32,93.7,56.22,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5L-C,Yes,No,77,99.95,59.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5S-B,Yes,No,26,87.45,52.47,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444BK5S-C,Yes,No,69,85.18,51.11,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444K6-B,Yes,No,180,43.61,26.17,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444K6-C,Yes,No,160,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444K6ET-B,Yes,No,120,52.47,31.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444K6ET-C,Yes,No,77,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444L-B,Yes,No,0,2.5,1.5,,4-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444L-C,Yes,No,0,2.0,1.2,,4-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK6-B,Yes,No,85,53.95,32.37,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK6-C,Yes,No,85,66.78,40.07,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK6ET-B,Yes,No,59,62.47,37.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK6ET-C,Yes,No,58,74.96,44.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK8-B,Yes,No,27,70.98,42.59,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8444LK8-C,Yes,No,140,87.45,52.47,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445-B,Yes,No,0,1.5,0.9,,2-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445-C,Yes,No,0,1.5,0.9,,2-1.5,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445BK5-B,Yes,No,67,93.7,56.22,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445BK5-C,Yes,No,8,99.95,59.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445BK5S-B,Yes,No,62,87.45,52.47,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445BK5S-C,Yes,No,41,85.18,51.11,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K5-B,Yes,No,0,36.23,21.74,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K5-C,Yes,No,0,41.8,25.08,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K6-B,Yes,No,199,45.43,27.26,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K6-C,Yes,No,52,47.7,28.62,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K6ET-B,Yes,No,43,52.47,31.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8445K6ET-C,Yes,No,22,58.78,35.27,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8446LK6-B,Yes,No,51,49.63,29.78,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8446LK6-C,Yes,No,4,57.24,34.34,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8446LK8-B,Yes,No,53,65.31,39.19,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8446LK8-C,Yes,No,89,74.96,44.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447-B,Yes,No,0,1.5,0.9,,2-1.25,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447-C,Yes,No,0,1.5,0.9,,2-1.25,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447BK5-B,Yes,No,2,93.7,56.22,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447BK5-C,Yes,No,3,99.95,59.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K5-B,Yes,No,0,36.23,21.74,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K5-C,Yes,No,39,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K6-B,Yes,No,11,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K6-C,Yes,No,36,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K6ET-B,Yes,No,0,52.47,31.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8447K6ET-C,Yes,No,6,58.78,35.27,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448L-B,Yes,No,0,2.5,1.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448L-C,Yes,No,0,2.0,1.2,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448LK5-B,Yes,No,26,44.98,26.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448LK5-C,Yes,No,87,47.47,28.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448LK8-B,Yes,No,62,68.15,40.89,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8448LK8-C,Yes,No,21,74.96,44.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8450-C,Yes,No,5400,1.76,1.06,,2-20,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8454-B,Yes,No,1900,1.76,1.06,14X1.5,,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8454-C,Yes,No,500,1.76,1.06,14X1.5,,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8454ET-B,Yes,No,500,1.87,1.12,14X1.5,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8454ET-C,Yes,No,2500,1.91,1.15,14X1.5,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8454L-B,Yes,No,800,2.11,1.27,14X1.5,,48,,,,,Not in Master WP Feed (likely missing technical metadata)
8454L-C,Yes,No,5712,2.0,1.2,14X1.5,,48,,,,,Not in Master WP Feed (likely missing technical metadata)
8454LET-B,Yes,No,800,2.21,1.33,14X1.5,,54,,,,,Not in Master WP Feed (likely missing technical metadata)
8454LET-C,Yes,No,400,2.41,1.45,14X1.5,,54,,,,,Not in Master WP Feed (likely missing technical metadata)
8455-B,Yes,No,0,1.76,1.06,12X1.5,,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8455-C,Yes,No,13900,1.76,1.06,12X1.5,,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8457-C,Yes,No,14500,1.76,1.06,12X1.25,,35,,,,,Not in Master WP Feed (likely missing technical metadata)
8458L-C,Yes,No,0,2.0,1.2,,,48,,,,,Not in Master WP Feed (likely missing technical metadata)
8459L-C,Yes,No,13140,2.5,1.5,12X1.75,,48,,,,,Not in Master WP Feed (likely missing technical metadata)
8730-Z,Yes,No,6400,1.3,0.78,,,22,,,,,Not in Master WP Feed (likely missing technical metadata)
8730K6-Z,Yes,No,337,33.73,20.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8734-Z,Yes,No,1800,1.3,0.78,,4-1.5,25,,,,,Not in Master WP Feed (likely missing technical metadata)
8734ET-Z,Yes,No,1900,1.01,0.61,14X1.5,,31,,,,,Not in Master WP Feed (likely missing technical metadata)
8734K6-Z,Yes,No,982,33.73,20.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8734K6ET-Z,Yes,No,477,45.43,27.26,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8734K8-Z,Yes,No,624,42.48,25.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8735-Z,Yes,No,2200,1.3,0.78,,2-1.5,22,,,,,Not in Master WP Feed (likely missing technical metadata)
8735ET-Z,Yes,No,2600,1.03,0.62,12X1.5,,28,,,,,Not in Master WP Feed (likely missing technical metadata)
8735K5-Z,Yes,No,908,29.98,17.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8735K6-Z,Yes,No,118,33.73,20.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8735K6ET-Z,Yes,No,97,45.43,27.26,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8736-Z,Yes,No,6500,0.95,0.57,,4-2.0,25,,,,,Not in Master WP Feed (likely missing technical metadata)
8736K6-Z,Yes,No,234,33.73,20.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8736K8-Z,Yes,No,34,42.48,25.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8737-Z,Yes,No,5400,1.3,0.78,,2-1.25,22,,,,,Not in Master WP Feed (likely missing technical metadata)
8737K5-Z,Yes,No,307,29.98,17.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8737K6-Z,Yes,No,64,33.73,20.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8738-Z,Yes,No,5488,1.3,0.78,,,25,,,,,Not in Master WP Feed (likely missing technical metadata)
8738K5-Z,Yes,No,73,29.98,17.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8738K8-Z,Yes,No,100,42.48,25.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8740-B,Yes,No,8000,1.7,1.02,,,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8740-C,Yes,No,15000,1.6,0.96,,,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8740K6-B,Yes,No,422,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8740K6-C,Yes,No,833,49.97,29.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8740K6ET-B,Yes,No,184,56.22,33.73,,0-20,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8740K6ET-C,Yes,No,47,58.77,35.26,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8741BK5-B,Yes,No,34,91.2,54.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8741BK5-C,Yes,No,55,96.2,57.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8742-B,Yes,No,250,1.7,1.02,,,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8742-C,Yes,No,5700,1.6,0.96,,,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8742K5-B,Yes,No,52,37.48,22.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8742K5-C,Yes,No,208,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8743B-B,Yes,No,0,3.0,1.8,,4-1.25,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8743B-C,Yes,No,0,3.0,1.8,,4-1.25,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8743BK5-B,Yes,No,238,89.95,53.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8743BK5-C,Yes,No,347,96.2,57.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744-B,Yes,No,0,1.7,1.02,,4-1.5,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8744-C,Yes,No,1879,1.6,0.96,14X1.5,,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8744B-B,Yes,No,0,3.0,1.8,,4-1.5,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8744B-C,Yes,No,0,3.0,1.8,,4-1.5,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5-B,Yes,No,122,89.95,53.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5-C,Yes,No,1362,96.2,57.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5L-B,Yes,No,129,93.7,56.22,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5L-C,Yes,No,140,99.95,59.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5S-B,Yes,No,91,87.45,52.47,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744BK5S-C,Yes,No,183,85.18,51.11,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744ET-B,Yes,No,100,2.5,1.5,14X1.5,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8744ET-C,Yes,No,0,2.5,1.5,,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8744K6-B,Yes,No,431,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744K6-C,Yes,No,1200,49.97,29.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744K6ET-B,Yes,No,724,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744K6ET-C,Yes,No,302,62.47,37.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744L-B,Yes,No,614,2.2,1.32,,4-1.5,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8744L-C,Yes,No,16880,2.2,1.32,,4-1.5,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LET-B,Yes,No,4560,2.34,1.4,14X1.5,,56,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LET-C,Yes,No,1200,2.53,1.52,14X1.5,,56,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK6-B,Yes,No,2457,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK6-C,Yes,No,1389,62.47,37.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK6ET-B,Yes,No,560,67.46,40.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK6ET-C,Yes,No,83,74.96,44.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK8-B,Yes,No,1589,68.71,41.23,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8744LK8-C,Yes,No,1154,81.21,48.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745-B,Yes,No,1900,1.7,1.02,,2-1.5,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8745-C,Yes,No,400,1.6,0.96,,2-1.5,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8745B-B,Yes,No,0,2.65,1.59,,2-1.5,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8745B-C,Yes,No,0,2.65,1.59,,2-1.5,27,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5-B,Yes,No,79,89.95,53.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5-C,Yes,No,607,96.2,57.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5L-B,Yes,No,236,77.46,46.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5L-C,Yes,No,202,77.46,46.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5S-B,Yes,No,118,87.45,52.47,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745BK5S-C,Yes,No,275,85.18,51.11,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745ET-B,Yes,No,800,2.2,1.32,12X1.5,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8745ET-C,Yes,No,0,2.5,1.5,,,41,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K5-B,Yes,No,91,37.48,22.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K5-C,Yes,No,3151,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K6-B,Yes,No,880,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K6-C,Yes,No,747,49.97,29.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K6ET-B,Yes,No,945,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8745K6ET-C,Yes,No,303,62.47,37.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8746L-B,Yes,No,2160,2.2,1.32,,4-2.0,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8746L-C,Yes,No,7840,2.2,1.32,,4-2.0,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8746LK6-B,Yes,No,75,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8746LK6-C,Yes,No,219,68.15,40.89,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8746LK8-B,Yes,No,181,68.71,41.23,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8746LK8-C,Yes,No,65,88.59,53.15,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747-B,Yes,No,1515,1.7,1.02,,2-1.25,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8747-C,Yes,No,685,1.6,0.96,,2-1.25,34,,,,,Not in Master WP Feed (likely missing technical metadata)
8747BK5-B,Yes,No,132,89.95,53.97,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747BK5-C,Yes,No,148,96.2,57.72,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K5-B,Yes,No,213,37.48,22.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K5-C,Yes,No,923,39.98,23.99,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K6-B,Yes,No,329,43.73,26.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K6-C,Yes,No,160,49.97,29.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K6ET-B,Yes,No,111,56.22,33.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8747K6ET-C,Yes,No,126,62.47,37.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8748L-B,Yes,No,680,2.2,1.32,,,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8748L-C,Yes,No,920,2.2,1.32,,,50,,,,,Not in Master WP Feed (likely missing technical metadata)
8748LK5-B,Yes,No,27,49.97,29.98,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8748LK5-C,Yes,No,75,61.33,36.8,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8748LK8-B,Yes,No,243,71.84,43.1,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8748LK8-C,Yes,No,301,84.9,50.94,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8749BK5-B,Yes,No,93,66.21,39.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
8749BK5-C,Yes,No,29,66.21,39.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
90001,Yes,No,70,119.99,78.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
91001,Yes,No,1,105.99,68.9,,1-2024,,,,,,Not in Master WP Feed (likely missing technical metadata)
91010,Yes,No,0,161.99,105.3,,1-2024,,,,,,Not in Master WP Feed (likely missing technical metadata)
91011,Yes,No,82,131.99,85.8,,1-2024,,,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2170BMN,Yes,No,0,0.0,325.5,20X10,8-170,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2170GBN,Yes,No,4,443.99,310.8,20X10,8-170,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2170PN,Yes,No,0,0.0,385.0,20X10,8-170,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2178BMN,Yes,No,0,0.0,325.5,20X10,8-180,-25,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2178GBN,Yes,No,16,443.99,310.8,20X10,8-180,-25,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2178PN,Yes,No,0,0.0,385.0,20X10,8-180,-25,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2181BMN,Yes,No,0,0.0,325.5,20X10,8-165.1,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2181GBN,Yes,No,4,443.99,310.8,20X10,8-165.1,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2181PN,Yes,No,0,0.0,385.0,20X10,8-165.1,-25,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2183BMN,Yes,No,0,0.0,325.5,20X10,6-139.7,-25,106,,,,Not in Master WP Feed (likely missing technical metadata)
9110-2183PN,Yes,No,0,0.0,385.0,20X10,6-139.7,-25,106,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22136BMN,Yes,No,0,0.0,367.5,22X10,6-135,0,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22170BMN,Yes,No,0,0.0,367.5,22X10,8-170,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22178BMN,Yes,No,0,0.0,367.5,22X10,8-180,0,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22181BMN,Yes,No,0,0.0,367.5,22X10,8-165.1,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22181PN,Yes,No,0,0.0,441.0,22X10,8-165.1,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22183BMN,Yes,No,0,0.0,367.5,22X10,6-139.7,0,106,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22183PN,Yes,No,0,0.0,441.0,22X10,6-139.7,0,106,,,,Not in Master WP Feed (likely missing technical metadata)
9110-22236PN,Yes,No,0,0.0,451.5,22X12,6-135,-51,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
